,Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2021,,,,,,,,,NAICS_level_1,NAICS_level_2,NAICS_level_3,NAICS_level_4,NAICS_level_5,2017 NAICS Title,Jan. 2021,Feb. 2021(p),CY CUM,PY CUM
,,,,,,,,,,33,333,3339,33399,333991,Power-Driven Handtool Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33399,333992,Welding and Soldering Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33399,333993,Packaging Machinery Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33399,333994,Industrial Process Furnace and Oven Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33399,333995,Fluid Power Cylinder and Actuator Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33399,333996,Fluid Power Pump and Motor Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33399,333997,Scale and Balance Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,333,3339,33399,333999,All Other Miscellaneous General Purpose Machinery Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3341,33411,334111,Electronic Computer Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3341,33411,334112,Computer Storage Device Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3341,33411,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3342,33421,334210,Telephone Apparatus Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3342,33422,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3342,33429,334290,Other Communications Equipment Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3343,33431,334310,Audio and Video Equipment Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3344,33441,334412,Bare Printed Circuit Board Manufacturing  ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3344,33441,334413,Semiconductor and Related Device Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3344,33441,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3344,33441,334417,Electronic Connector Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3344,33441,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3344,33441,334419,Other Electronic Component Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3345,33451,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3345,33451,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3345,33451,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3345,33451,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3345,33451,334514,Totalizing Fluid Meter and Counting Device Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3345,33451,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3345,33451,334516,Analytical Laboratory Instrument Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3345,33451,334517,Irradiation Apparatus Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3345,33451,334519,Other Measuring and Controlling Device Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3346,33461,334613,Blank Magnetic and Optical Recording Media Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,334,3346,33461,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3351,33511,335110,Electric Lamp Bulb and Part Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3351,33512,335121,Residential Electric Lighting Fixture Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3351,33512,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3351,33512,335129,Other Lighting Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3352,33521,335210,Small Electrical Appliance Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3352,33522,335220,Major Household Appliance Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3353,33531,335311,"Power, Distribution, and Specialty Transformer Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3353,33531,335312,Motor and Generator Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3353,33531,335313,Switchgear and Switchboard Apparatus Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3353,33531,335314,Relay and Industrial Control Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3359,33591,335911,Storage Battery Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3359,33591,335912,Primary Battery Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3359,33592,335921,Fiber Optic Cable Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3359,33592,335929,Other Communication and Energy Wire Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3359,33593,335931,Current-Carrying Wiring Device Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3359,33593,335932,Noncurrent-Carrying Wiring Device Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3359,33599,335991,Carbon and Graphite Product Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,335,3359,33599,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3361,33611,336111,Automobile Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3361,33611,336112,Light Truck and Utility Vehicle Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3361,33612,336120,Heavy Duty Truck Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3362,33621,336211,Motor Vehicle Body Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3362,33621,336212,Truck Trailer Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3362,33621,336213,Motor Home Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3362,33621,336214,Travel Trailer and Camper Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3363,33631,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3363,33632,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3363,33633,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3363,33634,336340,Motor Vehicle Brake System Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3363,33635,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3363,33636,336360,Motor Vehicle Seating and Interior Trim Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3363,33637,336370,Motor Vehicle Metal Stamping,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3363,33639,336390,Other Motor Vehicle Parts Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3364,33641,336411,Aircraft Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3364,33641,336412,Aircraft Engine and Engine Parts Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3364,33641,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3364,33641,336414,Guided Missile and Space Vehicle Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3364,33641,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3364,33641,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3365,33651,336510,Railroad Rolling Stock Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3366,33661,336611,Ship Building and Repairing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3366,33661,336612,Boat Building ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3369,33699,336991,"Motorcycle, Bicycle, and Parts Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3369,33699,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,336,3369,33699,336999,All Other Transportation Equipment Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3371,33711,337110,Wood Kitchen Cabinet and Countertop Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3371,33712,337121,Upholstered Household Furniture Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3371,33712,337122,Nonupholstered Wood Household Furniture Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3371,33712,337124,Metal Household Furniture Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3371,33712,337125,Household Furniture (except Wood and Metal) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3371,33712,337127,Institutional Furniture Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3372,33721,337211,Wood Office Furniture Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3372,33721,337212,Custom Architectural Woodwork and Millwork Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3372,33721,337214,Office Furniture (except Wood) Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3372,33721,337215,"Showcase, Partition, Shelving, and Locker Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3379,33791,337910,Mattress Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,337,3379,33792,337920,Blind and Shade Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3391,33911,339112,Surgical and Medical Instrument Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3391,33911,339113,Surgical Appliance and Supplies Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3391,33911,339114,Dental Equipment and Supplies Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3391,33911,339115,Ophthalmic Goods Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3391,33911,339116,Dental Laboratories ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33991,339910,Jewelry and Silverware Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33992,339920,Sporting and Athletic Goods Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33993,339930,"Doll, Toy, and Game Manufacturing",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33994,339940,Office Supplies (except Paper) Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33995,339950,Sign Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33999,339991,"Gasket, Packing, and Sealing Device Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33999,339992,Musical Instrument Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33999,339993,"Fastener, Button, Needle, and Pin Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33999,339994,"Broom, Brush, and Mop Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33999,339995,Burial Casket Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,33,339,3399,33999,339999,All Other Miscellaneous Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4231,42311,423110,Automobile and Other Motor Vehicle Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4231,42312,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4231,42313,423130,Tire and Tube Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4231,42314,423140,Motor Vehicle Parts (Used) Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4232,42321,423210,Furniture Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4232,42322,423220,Home Furnishing Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4233,42331,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4233,42332,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4233,42333,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4233,42339,423390,Other Construction Material Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4234,42341,423410,Photographic Equipment and Supplies Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4234,42342,423420,Office Equipment Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4234,42343,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4234,42344,423440,Other Commercial Equipment Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4234,42345,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4234,42346,423460,Ophthalmic Goods Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4234,42349,423490,Other Professional Equipment and Supplies Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4235,42351,423510,Metal Service Centers and Other Metal Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4235,42352,423520,Coal and Other Mineral and Ore Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4236,42361,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4236,42362,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4236,42369,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4237,42371,423710,Hardware Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4237,42372,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4237,42373,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4237,42374,423740,Refrigeration Equipment and Supplies Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4238,42381,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4238,42382,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4238,42383,423830,Industrial Machinery and Equipment Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4238,42384,423840,Industrial Supplies Merchant Wholesalers,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4238,42385,423850,Service Establishment Equipment and Supplies Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4238,42386,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4239,42391,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4239,42392,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4239,42393,423930,Recyclable Material Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4239,42394,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,423,4239,42399,423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4241,42411,424110,Printing and Writing Paper Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4241,42412,424120,Stationery and Office Supplies Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4241,42413,424130,Industrial and Personal Service Paper Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4242,42421,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4243,42431,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4243,42432,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4243,42433,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4243,42434,424340,Footwear Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4244,42441,424410,General Line Grocery Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4244,42442,424420,Packaged Frozen Food Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4244,42443,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4244,42444,424440,Poultry and Poultry Product Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4244,42445,424450,Confectionery Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4244,42446,424460,Fish and Seafood Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4244,42447,424470,Meat and Meat Product Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4244,42448,424480,Fresh Fruit and Vegetable Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4244,42449,424490,Other Grocery and Related Products Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4245,42451,424510,Grain and Field Bean Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4245,42452,424520,Livestock Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4245,42459,424590,Other Farm Product Raw Material Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4246,42461,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4246,42469,424690,Other Chemical and Allied Products Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4247,42471,424710,Petroleum Bulk Stations and Terminals ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4247,42472,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4248,42481,424810,Beer and Ale Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4248,42482,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4249,42491,424910,Farm Supplies Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4249,42492,424920,"Book, Periodical, and Newspaper Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4249,42493,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4249,42494,424940,Tobacco and Tobacco Product Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4249,42495,424950,"Paint, Varnish, and Supplies Merchant Wholesalers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,424,4249,42499,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,425,4251,42511,425110,Business to Business Electronic Markets ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,42,425,4251,42512,425120,Wholesale Trade Agents and Brokers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,441,4411,44111,441110,New Car Dealers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,441,4411,44112,441120,Used Car Dealers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,441,4412,44121,441210,Recreational Vehicle Dealers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,441,4412,44122,441222,Boat Dealers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,441,4412,44122,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,441,4413,44131,441310,Automotive Parts and Accessories Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,441,4413,44132,441320,Tire Dealers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,442,4421,44211,442110,Furniture Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,442,4422,44221,442210,Floor Covering Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,442,4422,44229,442291,Window Treatment Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,442,4422,44229,442299,All Other Home Furnishings Stores ,(S),#N/A,#N/A,#N/A
,,,,,,,,,,44,443,4431,44314,443141,Household Appliance Stores ,1631,#N/A,#N/A,#N/A
,,,,,,,,,,44,443,4431,44314,443142,Electronics Stores ,5435,#N/A,#N/A,#N/A
,,,,,,,,,,44,444,4441,44411,444110,Home Centers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,444,4441,44412,444120,Paint and Wallpaper Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,444,4441,44413,444130,Hardware Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,444,4441,44419,444190,Other Building Material Dealers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,444,4442,44421,444210,Outdoor Power Equipment Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,444,4442,44422,444220,"Nursery, Garden Center, and Farm Supply Stores ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,445,4451,44511,445110,Supermarkets and Other Grocery (except Convenience) Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,445,4451,44512,445120,Convenience Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,445,4452,44521,445210,Meat Markets ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,445,4452,44522,445220,Fish and Seafood Markets ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,445,4452,44523,445230,Fruit and Vegetable Markets ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,445,4452,44529,445291,Baked Goods Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,445,4452,44529,445292,Confectionery and Nut Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,445,4452,44529,445299,All Other Specialty Food Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,445,4453,44531,445310,"Beer, Wine, and Liquor Stores ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,446,4461,44611,446110,Pharmacies and Drug Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,446,4461,44612,446120,"Cosmetics, Beauty Supplies, and Perfume Stores ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,446,4461,44613,446130,Optical Goods Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,446,4461,44619,446191,Food (Health) Supplement Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,446,4461,44619,446199,All Other Health and Personal Care Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,447,4471,44711,447110,Gasoline Stations with Convenience Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,447,4471,44719,447190,Other Gasoline Stations ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,448,4481,44811,448110,Men's Clothing Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,448,4481,44812,448120,Women's Clothing Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,448,4481,44813,448130,Children's and Infants' Clothing Stores ,#N/A,#N/A,#N/A,#N/A
