,Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2021,,,,,,,,,NAICS_level_1,NAICS_level_2,NAICS_level_3,NAICS_level_4,NAICS_level_5,2017 NAICS Title,Jan. 2021,Feb. 2021(p),CY CUM,PY CUM
,,,,,,,,,,23,238,2382,23821,238210,Electrical Contractors and Other Wiring Installation Contractors,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2382,23822,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2382,23829,238290,Other Building Equipment Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2383,23831,238310,Drywall and Insulation Contractors ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2383,23832,238320,Painting and Wall Covering Contractors,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2383,23833,238330,Flooring Contractors,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2383,23834,238340,Tile and Terrazzo Contractors,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2383,23835,238350,Finish Carpentry Contractors,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2383,23839,238390,Other Building Finishing Contractors,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2389,23891,238910,Site Preparation Contractors,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,23,238,2389,23899,238990,All Other Specialty Trade Contractors,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3111,31111,311111,Dog and Cat Food Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3111,31111,311119,Other Animal Food Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3112,31121,311211,Flour Milling ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3112,31121,311212,Rice Milling ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3112,31121,311213,Malt Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3112,31122,311221,Wet Corn Milling ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3112,31122,311224,Soybean and Other Oilseed Processing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3112,31122,311225,Fats and Oils Refining and Blending ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3112,31123,311230,Breakfast Cereal Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3113,31131,311313,Beet Sugar Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3113,31131,311314,Cane Sugar Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3113,31134,311340,Nonchocolate Confectionery Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3113,31135,311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3113,31135,311352,Confectionery Manufacturing from Purchased Chocolate ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3114,31141,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3114,31141,311412,Frozen Specialty Food Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3114,31142,311421,Fruit and Vegetable Canning ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3114,31142,311422,Specialty Canning ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3114,31142,311423,Dried and Dehydrated Food Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3115,31151,311511,Fluid Milk Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3115,31151,311512,Creamery Butter Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3115,31151,311513,Cheese Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3115,31151,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3115,31152,311520,Ice Cream and Frozen Dessert Manufacturing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3116,31161,311611,Animal (except Poultry) Slaughtering ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3116,31161,311612,Meat Processed from Carcasses ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3116,31161,311613,Rendering and Meat Byproduct Processing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3116,31161,311615,Poultry Processing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3117,31171,311710,Seafood Product Preparation and Packaging,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3118,31181,311811,Retail Bakeries ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3118,31181,311812,Commercial Bakeries ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3118,31181,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3118,31182,311821,Cookie and Cracker Manufacturing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3118,31182,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,31,311,3118,31183,311830,Tortilla Manufacturing,#N/A,#N/A,#N/A,#N/A
